page,match,innings,category,discrepancy,numeric,sparseness
215,"PERAK v PENANG (April 5, 6 and 7, 1947)",PERAK inn 1,dismissal_wickets,DHC LaBrooy: bowling says 0w but dismissals say 1w,-1,0.0
219,"Selangor v Perak (June 14 and 15, 1947)",Perak inn 1,dismissal_wickets,Lall Singh: bowling says 0w but dismissals say 3w,-3,0.0
220,"Selangor v Negeri Sembilan (July 19 and 20, 1947)",Selangor inn 1,batting_total,"batting (214) + extras (4) = 218, but total is 220 (-2)",-2,0.0
220,"Selangor v Negeri Sembilan (July 19 and 20, 1947)",Negeri Sembilan inn 1,batting_total,"batting (165) + extras (13) = 178, but total is 177 (+1)",1,0.0
221,"MELAKA v SELANGOR (July 19 and 20, 1947)",SELANGOR inn 1,dismissal_wickets,S Sequerah: bowling says 0w but dismissals say 2w,-2,0.0
222,"Pahang v Selangor (August 17 and 18, 1947)",Pahang inn 1,dismissal_wickets,Lall Singh: bowling says 0w but dismissals say 2w,-2,0.0
222,"Pahang v Selangor (August 17 and 18, 1947)",Pahang inn 2,dismissal_wickets,Gorbex Singh: bowling says 0w but dismissals say 1w,-1,0.11
225,"Selangor v Pahang (April 24 and 25, 1948)",Pahang inn 1,batting_total,"batting (70) + extras (28) = 98, but total is 130 (-32)",-32,0.0
225,"Selangor v Pahang (April 24 and 25, 1948)",Selangor inn 1,batting_total,"batting (51) + extras (0) = 51, but total is 158 (-107)",-107,0.34
228,"Perak v Selangor (June 19 and 20, 1948)",Perak inn 2,batting_total,"batting (184) + extras (15) = 199, but total is 188 (+11)",11,0.0
229,"Selangor v Melaka (July 24 and 25, 1948)",Selangor inn 1,batting_total,"batting (160) + extras (45) = 205, but total is 211 (-6)",-6,0.0
230,"Negeri Sembilan v Selangor (July 24 and 25, 1948)",Negeri Sembilan inn 1,batting_total,"batting (150) + extras (47) = 197, but total is 186 (+11)",11,0.09
231,"Perak v Pahang (July 31 and August 1, 1948)",Pahang inn 1,fow_ascending,"FOW not ascending: [4, 9, 4, 7, 5, 11, 0, 17, 0, 0]",,0.0
231,"Perak v Pahang (July 31 and August 1, 1948)",Perak inn 1,batting_total,"batting (105) + extras (0) = 105, but total is 210 (-105)",-105,0.54
233,"Perak v Penang (April 17 and 18, 1949)",Penang inn 2,batting_total,"batting (123) + extras (4) = 127, but total is 129 (-2)",-2,0.0
235,"Pahang v Selangor (May 14 and 15, 1949)",Pahang inn 1,batting_total,"batting (163) + extras (7) = 170, but total is 98 (+72)",72,0.0
235,"Pahang v Selangor (May 14 and 15, 1949)",Selangor inn 1,batting_total,"batting (160) + extras (0) = 160, but total is 198 (-38)",-38,0.02
236,"SELANGOR v NEGERI SEMBILAN (May 21 and 22, 1949)",SELANGOR inn 1,batting_total,"batting (126) + extras (168) = 294, but total is 168 (+126)",126,0.14
237,"MELAKA v SELANGOR (May 21 and 22, 1949)",MELAKA inn 1,batting_total,"batting (21) + extras (79) = 100, but total is 81 (+19)",19,0.25
237,"MELAKA v SELANGOR (May 21 and 22, 1949)",MELAKA inn 2,batting_total,"batting (40) + extras (60) = 100, but total is 59 (+41)",41,0.48
237,"MELAKA v SELANGOR (May 21 and 22, 1949)",SELANGOR inn 1,batting_total,"batting (62) + extras (0) = 62, but total is 0 (+62)",62,0.64
238,"Penang v Selangor (June 4 and 5, 1949)",Penang inn 2,batting_total,"batting (152) + extras (10) = 162, but total is 163 (-1)",-1,0.05
238,"Penang v Selangor (June 4 and 5, 1949)",Selangor inn 1,batting_total,"batting (115) + extras (10) = 125, but total is 126 (-1)",-1,0.0
238,"Penang v Selangor (June 4 and 5, 1949)",Selangor inn 2,batting_total,"batting (44) + extras (1) = 45, but total is 46 (-1)",-1,0.11
239,"PAHANG v PERAK (June 4 and 5, 1949)",PAHANG inn 2,batting_total,"batting (144) + extras (10) = 154, but total is 200 (-46)",-46,0.05
240,"Singapore v Negeri Sembilan (June 25 and 26, 1949)",Negeri Sembilan inn 1,fow_final_value,last FOW is 141 but all-out total is 87,54,0.0
240,"Singapore v Negeri Sembilan (June 25 and 26, 1949)",Singapore inn 1,fow_count,7 FOW entries but wickets=all out (10),-3,0.0
240,"Singapore v Negeri Sembilan (June 25 and 26, 1949)",Singapore inn 1,fow_final_value,last FOW is 49 but all-out total is 151,-102,0.0
241,"NEGERI SEMBILAN v MELAKA (July 23 and 24, 1949)",NEGERI SEMBILAN inn 1,batting_total,"batting (0) + extras (0) = 0, but total is 61 (-61)",-61,1.0
241,"NEGERI SEMBILAN v MELAKA (July 23 and 24, 1949)",NEGERI SEMBILAN inn 2,batting_total,"batting (0) + extras (0) = 0, but total is 103 (-103)",-103,1.0
243,"SINGAPORE v MELAKA (August 27 and 28, 1949)",SINGAPORE inn 1,dismissal_wickets,J Sequerah: bowling says 0w but dismissals say 4w,-4,0.0
246,"Selangor v Perak (May 6 and 7, 1950)",Perak inn 1,batting_total,"batting (39) + extras (0) = 39, but total is 42 (-3)",-3,0.0
246,"Selangor v Perak (May 6 and 7, 1950)",Perak inn 1,fow_final_value,last FOW is 41 but all-out total is 42,-1,0.0
246,"Selangor v Perak (May 6 and 7, 1950)",Perak inn 2,batting_total,"batting (50) + extras (1) = 51, but total is 45 (+6)",6,0.0
246,"Selangor v Perak (May 6 and 7, 1950)",Perak inn 2,fow_ascending,"FOW not ascending: [2, 7, 26, 25, 27, 38, 39, 44, 44, 45]",,0.0
247,"Melaka v Negeri Sembilan (May 13 and 14, 1950)",Negeri Sembilan inn 1,dismissal_wickets,H Sequerah: bowling says 0w but dismissals say 2w,-2,0.0
247,"Melaka v Negeri Sembilan (May 13 and 14, 1950)",Negeri Sembilan inn 2,dismissal_wickets,S Sequerah: bowling says 0w but dismissals say 1w,-1,0.02
248,"Selangor v Penang (May 27 and 28, 1950)",Penang inn 1,batting_total,"batting (94) + extras (2) = 96, but total is 83 (+13)",13,0.0
248,"Selangor v Penang (May 27 and 28, 1950)",Penang inn 2,batting_total,"batting (77) + extras (0) = 77, but total is 79 (-2)",-2,0.09
249,"SELANGOR v MELAKA (June 3 and 4, 1950)",SELANGOR inn 1,batting_total,"batting (70) + extras (8) = 78, but total is 79 (-1)",-1,0.0
249,"SELANGOR v MELAKA (June 3 and 4, 1950)",SELANGOR inn 2,batting_total,"batting (63) + extras (5) = 68, but total is 100 (-32)",-32,0.14
249,"SELANGOR v MELAKA (June 3 and 4, 1950)",SELANGOR inn 2,dismissal_wickets,J Sequerah: bowling says 0w but dismissals say 1w,-1,0.14
249,"SELANGOR v MELAKA (June 3 and 4, 1950)",SELANGOR inn 2,dismissal_wickets,S Sequerah: bowling says 0w but dismissals say 1w,-1,0.14
251,"Melaka v Singapore (June 17 and 18, 1950)",Singapore inn 1,dismissal_wickets,J Sequerah: bowling says 0w but dismissals say 6w,-6,0.0
251,"Melaka v Singapore (June 17 and 18, 1950)",Singapore inn 1,fow_final_value,last FOW is 95 but all-out total is 223,-128,0.0
251,"Melaka v Singapore (June 17 and 18, 1950)",Melaka inn 2,fow_final_value,last FOW is 116 but all-out total is 95,21,0.0
252,"Penang v Kedah (June 24 and 25, 1950)",Kedah inn 1,batting_total,"batting (89) + extras (8) = 97, but total is 106 (-9)",-9,0.0
252,"Penang v Kedah (June 24 and 25, 1950)",Penang inn 1,batting_total,"batting (158) + extras (17) = 175, but total is 176 (-1)",-1,0.0
252,"Penang v Kedah (June 24 and 25, 1950)",Kedah inn 2,batting_total,"batting (0) + extras (0) = 0, but total is 97 (-97)",-97,1.0
252,"Penang v Kedah (June 24 and 25, 1950)",Penang inn 2,fow_count,0 FOW entries but wickets=1,-1,0.18
254,"Negeri Sembilan v Perak (July 15 and 16, 1950)",Perak inn 1,batting_total,"batting (140) + extras (10) = 150, but total is 160 (-10)",-10,0.0
255,"SINGAPORE v JOHOR (July 16 and 17, 1950)",JOHOR inn 1,dismissal_wickets,bowling figures total 10w but 9 bowler-credited dismissals,1,0.0
255,"SINGAPORE v JOHOR (July 16 and 17, 1950)",JOHOR inn 2,dismissal_wickets,bowling figures total 15w but 10 bowler-credited dismissals,5,0.0
256,"PERAK v PENANG (March 23, 24 and 25, 1951)",PENANG inn 1,fow_count,10 FOW entries but wickets=9,1,0.0
256,"PERAK v PENANG (March 23, 24 and 25, 1951)",PERAK inn 1,batting_total,"batting (44) + extras (5) = 49, but total is 44 (+5)",5,0.0
256,"PERAK v PENANG (March 23, 24 and 25, 1951)",PERAK inn 1,fow_ascending,"FOW not ascending: [43, 43, 48, 53, 53, 58, 58, 58, 60, 44]",,0.0
